序号,主修专业,GPA分段,挂科门数,奖学金级别,四六级成绩,计算机等级,双学位辅修,实习类型,实习企业规模,实习岗位相关性,岗位类型,岗位名称,起薪
1714,软件工程,3.0-3.5,0,无,379 (未通过),三级,无,日常实习,独角兽企业,部分相关,非技术岗,产品经理,13000
1715,汉语言文学,2.0-3.0,1,无,300 (未通过),无,无,日常实习,教育机构,部分相关,非技术岗,行政助理,8000
1716,软件工程,3.0-3.5,0,无,407 (未通过),三级,无,毕业实习,中小型企业,完全相关,技术岗,系统架构师,12500
1717,通信工程,3.5+,0,校奖,592 (通过),三级,无,暑期实习,行业龙头,完全相关,技术岗,电子工程师,13000
1718,信息安全,3.5+,0,省奖,549 (通过),四级,无,日常实习,中小型企业,完全相关,非技术岗,产品经理,14000
1719,软件工程,3.0-3.5,0,无,462 (通过),三级,无,暑期实习,独角兽企业,完全相关,技术岗,算法工程师,13000
1720,通信工程,3.0-3.5,0,无,361 (未通过),三级,无,日常实习,行业龙头,完全相关,技术岗,电子工程师,11000
1721,机械工程,3.0-3.5,0,无,421 (未通过),二级,无,暑期实习,国企,部分相关,技术岗,机械设计师,9500
1722,工商管理,3.0-3.5,0,校奖,535 (通过),二级,无,毕业实习,金融机构,完全相关,技术岗,量化研究员,11500
1723,土木工程,2.0-3.0,0,无,435 (通过),三级,无,日常实习,央企,完全相关,技术岗,机械设计师,10500
1724,计算机科学与技术,3.0-3.5,0,无,479 (通过),三级,无,日常实习,中小型企业,完全相关,技术岗,系统架构师,14500
1725,金融学,2.0-3.0,0,无,404 (未通过),无,无,暑期实习,外资企业,完全相关,技术岗,财务分析师,10000
1726,电子工程,3.0-3.5,0,无,592 (通过),二级,无,毕业实习,研究院所,完全相关,技术岗,自动化控制师,12500
1727,市场营销,3.5+,0,无,535 (通过),无,法学,毕业实习,外资企业,部分相关,技术岗,量化研究员,11000
1728,信息安全,2.0-3.0,0,无,457 (通过),四级,无,暑期实习,独角兽企业,部分相关,技术岗,软件开发工程师,13500
1729,电子工程,2.0-3.0,0,无,370 (未通过),二级,无,日常实习,央企,无关,技术岗,自动化控制师,11000
1730,信息安全,2.0-3.0,0,无,311 (未通过),三级,无,日常实习,上市科技公司,完全相关,非技术岗,技术销售,13500
1731,市场营销,3.0-3.5,0,无,451 (通过),无,无,日常实习,创业公司,部分相关,技术岗,财务分析师,11500
1732,计算机科学与技术,3.0-3.5,0,无,508 (通过),三级,无,日常实习,中小型企业,部分相关,非技术岗,IT项目经理,13500
1733,土木工程,3.0-3.5,0,无,442 (通过),三级,无,毕业实习,国企,完全相关,技术岗,结构工程师,9500
1734,土木工程,3.0-3.5,0,无,542 (通过),二级,计算机科学,暑期实习,外企,完全相关,技术岗,材料研发员,9500
1735,自动化,3.0-3.5,0,无,470 (通过),二级,无,日常实习,中小型企业,完全相关,非技术岗,项目协调员,11500
1736,人工智能,2.0-3.0,0,无,348 (未通过),三级,无,毕业实习,上市科技公司,完全相关,非技术岗,产品经理,14500
1737,金融学,3.5+,0,无,590 (通过),无,无,日常实习,四大会计师事务所,完全相关,技术岗,量化研究员,10500
1738,市场营销,2.0-3.0,0,无,332 (未通过),二级,无,毕业实习,金融机构,部分相关,非技术岗,市场营销专员,11000
1739,通信工程,3.0-3.5,0,无,549 (通过),二级,无,日常实习,行业龙头,完全相关,技术岗,通信工程师,11000
1740,计算机科学与技术,2.0-3.0,0,无,412 (未通过),三级,电子工程,暑期实习,中小型企业,完全相关,非技术岗,IT项目经理,13500
1741,通信工程,3.0-3.5,0,省奖,504 (通过),三级,无,日常实习,行业龙头,部分相关,技术岗,自动化控制师,11000
1742,会计学,2.0-3.0,0,无,563 (通过),二级,法学,暑期实习,外资企业,完全相关,技术岗,量化研究员,10500
1743,软件工程,3.0-3.5,0,校奖,384 (未通过),三级,无,日常实习,上市科技公司,完全相关,非技术岗,产品经理,12000
1744,机械工程,2.0-3.0,0,无,520 (通过),二级,无,日常实习,外企,完全相关,技术岗,机械设计师,9000
1745,信息安全,3.5+,0,国奖,477 (通过),三级,无,日常实习,上市科技公司,完全相关,非技术岗,技术销售,14000
1746,软件工程,3.5+,0,校奖,528 (通过),三级,无,毕业实习,世界500强,部分相关,非技术岗,IT项目经理,15500
1747,会计学,3.0-3.5,0,无,583 (通过),二级,心理学,暑期实习,外资企业,部分相关,技术岗,量化研究员,10000
1748,信息安全,2.0-3.0,0,无,417 (未通过),三级,无,暑期实习,上市科技公司,完全相关,非技术岗,IT项目经理,14000
1749,人工智能,2.0-3.0,1,无,415 (未通过),四级,金融学,毕业实习,世界500强,完全相关,非技术岗,IT项目经理,14500
1750,工商管理,3.5+,0,国奖,576 (通过),二级,无,毕业实习,外资企业,完全相关,技术岗,量化研究员,13000
1751,会计学,3.0-3.5,0,无,540 (通过),无,心理学,暑期实习,金融机构,无关,技术岗,量化研究员,11000
1752,通信工程,3.0-3.5,0,无,442 (通过),二级,无,毕业实习,中小型企业,部分相关,技术岗,通信工程师,12000
1753,信息安全,3.5+,0,校奖,473 (通过),三级,无,日常实习,中小型企业,完全相关,技术岗,系统架构师,13500
1754,工商管理,3.5+,0,校奖,603 (通过),无,无,暑期实习,创业公司,部分相关,技术岗,财务分析师,12000
1755,金融学,2.0-3.0,0,无,368 (未通过),二级,无,暑期实习,外资企业,无关,非技术岗,HRBP,10500
1756,自动化,3.5+,0,省奖,588 (通过),二级,无,暑期实习,中小型企业,完全相关,技术岗,通信工程师,12500
1757,软件工程,3.0-3.5,0,无,536 (通过),四级,无,日常实习,独角兽企业,完全相关,技术岗,数据分析师,14500
1758,信息安全,2.0-3.0,0,无,402 (未通过),四级,无,日常实习,上市科技公司,完全相关,技术岗,算法工程师,14000
1759,工商管理,3.0-3.5,0,无,501 (通过),二级,无,暑期实习,外资企业,完全相关,技术岗,财务分析师,11500
1760,会计学,2.0-3.0,0,无,464 (通过),二级,心理学,毕业实习,四大会计师事务所,完全相关,技术岗,财务分析师,10500
1761,英语,3.0-3.5,0,无,463 (通过),一级,无,毕业实习,教育机构,完全相关,非技术岗,教育培训,8000
1762,信息安全,3.5+,0,省奖,472 (通过),三级,电子工程,暑期实习,独角兽企业,完全相关,技术岗,算法工程师,12500
1763,金融学,3.5+,0,无,503 (通过),无,无,暑期实习,创业公司,部分相关,非技术岗,供应链管理,12000
1764,人工智能,3.5+,0,无,473 (通过),三级,无,毕业实习,上市科技公司,完全相关,技术岗,算法工程师,13500
1765,软件工程,3.5+,0,国奖,583 (通过),三级,无,毕业实习,独角兽企业,完全相关,技术岗,数据分析师,14000
1766,材料工程,2.0-3.0,1,无,392 (未通过),二级,无,日常实习,国企,部分相关,技术岗,机械设计师,10000
1767,计算机科学与技术,3.5+,0,省奖,503 (通过),三级,无,暑期实习,中小型企业,完全相关,技术岗,算法工程师,12500
1768,通信工程,2.0-3.0,1,无,445 (通过),三级,无,毕业实习,中小型企业,完全相关,技术岗,电子工程师,11000
1769,信息安全,3.5+,0,省奖,414 (未通过),四级,数学,毕业实习,中小型企业,完全相关,技术岗,软件开发工程师,13000
1770,金融学,3.5+,0,无,555 (通过),无,心理学,暑期实习,金融机构,部分相关,技术岗,财务分析师,12000
1771,市场营销,3.0-3.5,0,无,515 (通过),二级,无,暑期实习,外资企业,完全相关,非技术岗,供应链管理,11500
1772,金融学,2.0-3.0,0,无,364 (未通过),二级,无,日常实习,金融机构,无关,技术岗,量化研究员,10500
1773,通信工程,3.5+,0,省奖,528 (通过),三级,无,暑期实习,行业龙头,部分相关,技术岗,自动化控制师,13000
1774,市场营销,2.0-3.0,0,无,455 (通过),无,无,日常实习,金融机构,完全相关,技术岗,量化研究员,11000
1775,材料工程,3.5+,0,省奖,588 (通过),二级,无,日常实习,民营企业,完全相关,技术岗,材料研发员,10500
1776,电子工程,3.5+,0,无,568 (通过),二级,无,暑期实习,中小型企业,部分相关,技术岗,电子工程师,13000
1777,材料工程,3.5+,0,校奖,627 (通过),二级,无,日常实习,国企,完全相关,技术岗,机械设计师,9500
1778,工商管理,3.5+,0,校奖,607 (通过),二级,无,暑期实习,金融机构,部分相关,技术岗,量化研究员,11500
1779,市场营销,2.0-3.0,0,无,314 (未通过),二级,无,日常实习,外资企业,部分相关,非技术岗,市场营销专员,10000
1780,通信工程,2.0-3.0,0,无,425 (通过),三级,无,日常实习,研究院所,无关,技术岗,自动化控制师,11500
1781,人工智能,3.0-3.5,0,无,528 (通过),三级,无,日常实习,中小型企业,完全相关,技术岗,软件开发工程师,13000
1782,软件工程,3.0-3.5,0,校奖,494 (通过),三级,无,暑期实习,中小型企业,完全相关,技术岗,算法工程师,13000
1783,软件工程,3.0-3.5,0,无,483 (通过),四级,无,暑期实习,独角兽企业,完全相关,非技术岗,IT项目经理,13500
1784,市场营销,2.0-3.0,0,无,420 (未通过),二级,无,暑期实习,四大会计师事务所,部分相关,技术岗,财务分析师,10500
1785,工商管理,3.0-3.5,0,校奖,409 (未通过),二级,无,暑期实习,外资企业,部分相关,技术岗,量化研究员,10500
1786,金融学,2.0-3.0,1,无,310 (未通过),二级,计算机科学,日常实习,创业公司,完全相关,技术岗,财务分析师,11000
1787,软件工程,3.0-3.5,0,无,407 (未通过),三级,无,日常实习,中小型企业,完全相关,技术岗,软件开发工程师,13500
1788,自动化,3.0-3.5,0,无,524 (通过),三级,无,暑期实习,央企,部分相关,非技术岗,项目协调员,11500
1789,法学,2.0-3.0,0,无,431 (通过),无,无,暑期实习,教育机构,完全相关,技术岗,其他,8000
1790,计算机科学与技术,3.5+,0,省奖,612 (通过),四级,无,暑期实习,独角兽企业,部分相关,技术岗,数据分析师,15500
1791,电子工程,3.5+,0,校奖,563 (通过),三级,无,毕业实习,中小型企业,无关,技术岗,自动化控制师,12500
1792,材料工程,3.0-3.5,0,无,505 (通过),三级,无,暑期实习,央企,无关,技术岗,材料研发员,11000
1793,土木工程,3.5+,0,无,525 (通过),三级,无,毕业实习,外企,完全相关,技术岗,机械设计师,10500
1794,工商管理,2.0-3.0,0,无,374 (未通过),二级,心理学,毕业实习,金融机构,完全相关,技术岗,量化研究员,10500
1795,软件工程,3.5+,0,校奖,546 (通过),四级,无,毕业实习,世界500强,部分相关,技术岗,软件开发工程师,14500
1796,工商管理,3.0-3.5,0,校奖,514 (通过),二级,无,毕业实习,创业公司,完全相关,非技术岗,供应链管理,11500
1797,自动化,3.5+,0,校奖,518 (通过),三级,无,暑期实习,研究院所,无关,技术岗,电子工程师,12000
1798,法学,3.0-3.5,0,无,473 (通过),无,无,日常实习,教育机构,完全相关,技术岗,其他,8000
1799,材料工程,2.0-3.0,0,无,436 (通过),三级,无,日常实习,民营企业,无关,技术岗,机械设计师,9000
1800,人工智能,3.5+,0,无,615 (通过),三级,无,暑期实习,独角兽企业,部分相关,技术岗,系统架构师,13500
1801,软件工程,3.0-3.5,0,无,429 (通过),三级,无,日常实习,世界500强,完全相关,非技术岗,技术销售,16500
1802,人工智能,3.5+,0,省奖,484 (通过),三级,无,日常实习,上市科技公司,完全相关,技术岗,软件开发工程师,14000
1803,市场营销,3.0-3.5,0,无,492 (通过),二级,无,毕业实习,金融机构,完全相关,技术岗,财务分析师,11500
1804,自动化,3.5+,0,国奖,496 (通过),三级,无,毕业实习,研究院所,完全相关,技术岗,自动化控制师,12000
1805,市场营销,3.0-3.5,0,无,481 (通过),二级,计算机科学,日常实习,创业公司,完全相关,非技术岗,HRBP,11000
1806,电子工程,3.0-3.5,0,校奖,496 (通过),二级,无,日常实习,央企,完全相关,技术岗,通信工程师,11000
1807,信息安全,3.5+,0,校奖,540 (通过),三级,无,毕业实习,世界500强,完全相关,技术岗,系统架构师,15500
1808,金融学,3.5+,0,无,485 (通过),二级,心理学,日常实习,创业公司,完全相关,技术岗,财务分析师,11000
1809,电子工程,3.5+,0,无,620 (通过),二级,无,暑期实习,行业龙头,完全相关,非技术岗,项目协调员,11500
1810,电子工程,3.0-3.5,0,省奖,457 (通过),三级,无,暑期实习,研究院所,部分相关,非技术岗,项目协调员,13000
1811,通信工程,3.5+,0,无,543 (通过),二级,无,毕业实习,行业龙头,完全相关,技术岗,通信工程师,12500
1812,计算机科学与技术,3.5+,0,省奖,590 (通过),三级,无,日常实习,世界500强,完全相关,技术岗,软件开发工程师,14500
1813,信息安全,3.0-3.5,0,无,435 (通过),四级,电子工程,日常实习,独角兽企业,部分相关,技术岗,系统架构师,13500
1814,英语,3.5+,0,校奖,704 (通过),无,经济学,日常实习,自由职业,完全相关,技术岗,其他,8500
1815,电子工程,3.5+,0,省奖,495 (通过),三级,无,毕业实习,研究院所,完全相关,非技术岗,项目协调员,12000
1816,软件工程,3.0-3.5,0,无,571 (通过),三级,无,毕业实习,上市科技公司,完全相关,技术岗,数据分析师,13500
1817,金融学,3.5+,0,省奖,431 (通过),无,无,毕业实习,金融机构,无关,技术岗,财务分析师,11000
1818,信息安全,3.5+,0,校奖,526 (通过),四级,金融学,日常实习,中小型企业,部分相关,非技术岗,IT项目经理,14500
1819,汉语言文学,2.0-3.0,0,无,388 (未通过),一级,无,毕业实习,事业单位,完全相关,技术岗,其他,7500
1820,软件工程,3.0-3.5,0,无,573 (通过),三级,数学,毕业实习,上市科技公司,完全相关,技术岗,软件开发工程师,13500
1821,软件工程,3.5+,0,无,447 (通过),四级,无,日常实习,世界500强,完全相关,技术岗,数据分析师,15500
1822,软件工程,3.0-3.5,0,无,418 (未通过),四级,数学,毕业实习,中小型企业,完全相关,非技术岗,技术销售,14000
1823,自动化,2.0-3.0,0,无,542 (通过),三级,无,日常实习,央企,完全相关,非技术岗,技术顾问,12500
1824,软件工程,2.0-3.0,0,无,373 (未通过),四级,数学,毕业实习,中小型企业,完全相关,技术岗,算法工程师,13500
1825,材料工程,2.0-3.0,0,无,400 (未通过),二级,无,毕业实习,央企,完全相关,非技术岗,质量检测员,10500
1826,信息安全,3.5+,0,国奖,600 (通过),三级,无,毕业实习,独角兽企业,完全相关,非技术岗,技术销售,15000
1827,土木工程,2.0-3.0,0,无,375 (未通过),二级,无,日常实习,央企,完全相关,非技术岗,质量检测员,10500
1828,计算机科学与技术,3.5+,0,校奖,448 (通过),三级,无,日常实习,上市科技公司,部分相关,技术岗,算法工程师,13500
1829,会计学,3.0-3.5,0,无,507 (通过),无,无,暑期实习,金融机构,完全相关,技术岗,量化研究员,10000
1830,会计学,3.5+,0,国奖,645 (通过),二级,无,暑期实习,金融机构,完全相关,非技术岗,供应链管理,12000
1831,会计学,2.0-3.0,5,无,343 (未通过),无,无,暑期实习,四大会计师事务所,部分相关,技术岗,量化研究员,11000
1832,材料工程,2.0-3.0,0,无,398 (未通过),二级,无,日常实习,央企,完全相关,技术岗,结构工程师,10500
1833,人工智能,3.5+,0,无,599 (通过),四级,无,日常实习,中小型企业,完全相关,技术岗,数据分析师,13500
1834,会计学,3.0-3.5,0,无,541 (通过),二级,无,毕业实习,创业公司,完全相关,非技术岗,供应链管理,11000
1835,电子工程,2.0-3.0,0,无,521 (通过),三级,无,毕业实习,行业龙头,部分相关,技术岗,电子工程师,12000
1836,自动化,3.0-3.5,0,无,430 (通过),三级,无,毕业实习,行业龙头,完全相关,技术岗,自动化控制师,12000
1837,通信工程,3.0-3.5,0,无,465 (通过),三级,无,暑期实习,央企,完全相关,非技术岗,项目协调员,13000
1838,自动化,3.5+,0,国奖,583 (通过),三级,无,暑期实习,央企,部分相关,非技术岗,项目协调员,13500
1839,工商管理,3.0-3.5,0,无,407 (未通过),二级,无,毕业实习,金融机构,部分相关,非技术岗,市场营销专员,10500
1840,会计学,3.0-3.5,0,无,494 (通过),二级,无,暑期实习,外资企业,完全相关,技术岗,量化研究员,10500
1841,会计学,2.0-3.0,1,无,405 (未通过),二级,无,日常实习,创业公司,完全相关,技术岗,量化研究员,11500
1842,机械工程,3.0-3.5,0,无,492 (通过),二级,无,日常实习,外企,部分相关,技术岗,材料研发员,10000
1843,市场营销,3.0-3.5,0,无,401 (未通过),无,无,暑期实习,四大会计师事务所,无关,技术岗,财务分析师,11500
1844,新闻学,2.0-3.0,0,无,470 (通过),无,无,毕业实习,事业单位,部分相关,技术岗,其他,7000
1845,计算机科学与技术,3.5+,0,无,563 (通过),三级,无,日常实习,中小型企业,完全相关,技术岗,数据分析师,14000
1846,会计学,3.5+,0,校奖,532 (通过),二级,心理学,暑期实习,外资企业,完全相关,技术岗,财务分析师,10500
1847,会计学,3.5+,0,无,581 (通过),二级,计算机科学,暑期实习,金融机构,完全相关,非技术岗,市场营销专员,10000
1848,英语,2.0-3.0,0,无,479 (通过),无,无,日常实习,传媒机构,完全相关,技术岗,其他,8000
1849,汉语言文学,3.0-3.5,0,无,559 (通过),无,新媒体,暑期实习,教育机构,完全相关,技术岗,其他,8000
1850,电子工程,3.5+,0,省奖,615 (通过),二级,无,毕业实习,研究院所,完全相关,技术岗,通信工程师,11500
1851,会计学,3.0-3.5,0,无,375 (未通过),二级,无,毕业实习,四大会计师事务所,完全相关,非技术岗,供应链管理,10000
1852,通信工程,3.0-3.5,0,校奖,537 (通过),二级,无,日常实习,研究院所,部分相关,技术岗,电子工程师,11500
1853,金融学,3.0-3.5,0,无,489 (通过),二级,无,暑期实习,四大会计师事务所,完全相关,技术岗,量化研究员,9500
1854,金融学,3.0-3.5,0,校奖,534 (通过),二级,无,日常实习,金融机构,完全相关,非技术岗,市场营销专员,10500
1855,信息安全,3.5+,0,校奖,525 (通过),三级,无,暑期实习,中小型企业,无关,技术岗,算法工程师,13000
1856,新闻学,2.0-3.0,0,无,300 (未通过),一级,新媒体,日常实习,教育机构,完全相关,非技术岗,教育培训,8500
1857,通信工程,3.5+,0,省奖,572 (通过),三级,无,毕业实习,央企,完全相关,技术岗,通信工程师,13000
1858,材料工程,3.0-3.5,0,无,520 (通过),二级,无,暑期实习,央企,完全相关,非技术岗,质量检测员,10500
1859,会计学,3.5+,0,校奖,524 (通过),无,法学,暑期实习,外资企业,部分相关,技术岗,财务分析师,11500
1860,工商管理,2.0-3.0,0,无,401 (未通过),二级,无,日常实习,金融机构,部分相关,技术岗,财务分析师,10000
1861,通信工程,3.0-3.5,0,无,422 (未通过),二级,无,日常实习,中小型企业,完全相关,技术岗,自动化控制师,12500
1862,机械工程,3.0-3.5,0,无,473 (通过),三级,工商管理,毕业实习,国企,完全相关,技术岗,机械设计师,9500
1863,自动化,3.0-3.5,0,省奖,522 (通过),二级,无,日常实习,行业龙头,完全相关,技术岗,自动化控制师,12000
1864,市场营销,2.0-3.0,1,无,440 (通过),二级,无,日常实习,四大会计师事务所,完全相关,技术岗,量化研究员,11000
1865,土木工程,3.0-3.5,0,无,415 (未通过),三级,无,毕业实习,外企,完全相关,技术岗,材料研发员,11000
1866,人工智能,3.0-3.5,0,无,391 (未通过),四级,无,毕业实习,中小型企业,无关,技术岗,软件开发工程师,13500
1867,会计学,3.0-3.5,0,无,426 (通过),二级,无,暑期实习,创业公司,完全相关,技术岗,财务分析师,10500
1868,计算机科学与技术,3.5+,0,无,539 (通过),四级,无,毕业实习,中小型企业,部分相关,非技术岗,产品经理,14500
1869,土木工程,2.0-3.0,0,无,375 (未通过),二级,无,日常实习,国企,部分相关,非技术岗,生产主管,11000
1870,计算机科学与技术,3.0-3.5,0,无,488 (通过),三级,无,毕业实习,上市科技公司,完全相关,技术岗,数据分析师,14000
1871,计算机科学与技术,3.0-3.5,0,无,535 (通过),四级,数学,日常实习,独角兽企业,完全相关,非技术岗,IT项目经理,14500
1872,信息安全,3.0-3.5,0,无,513 (通过),三级,无,日常实习,中小型企业,完全相关,非技术岗,IT项目经理,12000
1873,计算机科学与技术,3.0-3.5,0,无,522 (通过),三级,无,日常实习,上市科技公司,无关,非技术岗,产品经理,14000
1874,软件工程,3.0-3.5,0,省奖,576 (通过),三级,无,暑期实习,中小型企业,部分相关,技术岗,系统架构师,13000
1875,通信工程,3.0-3.5,0,无,491 (通过),三级,无,暑期实习,中小型企业,完全相关,技术岗,自动化控制师,11500
1876,金融学,2.0-3.0,0,无,414 (未通过),二级,无,暑期实习,外资企业,部分相关,非技术岗,HRBP,11000
1877,软件工程,3.5+,0,校奖,531 (通过),三级,无,毕业实习,独角兽企业,部分相关,技术岗,数据分析师,14500
1878,通信工程,3.0-3.5,0,无,564 (通过),三级,无,暑期实习,行业龙头,无关,技术岗,自动化控制师,11000
1879,会计学,2.0-3.0,0,无,421 (未通过),无,无,暑期实习,外资企业,部分相关,技术岗,量化研究员,11000
1880,自动化,2.0-3.0,0,无,385 (未通过),三级,无,毕业实习,央企,完全相关,技术岗,通信工程师,11500
1881,通信工程,3.5+,0,国奖,628 (通过),三级,无,毕业实习,研究院所,部分相关,非技术岗,技术顾问,13500
1882,汉语言文学,2.0-3.0,1,无,373 (未通过),无,无,毕业实习,教育机构,完全相关,非技术岗,教育培训,7500
1883,法学,2.0-3.0,2,无,342 (未通过),一级,无,毕业实习,传媒机构,无关,技术岗,其他,8500
1884,新闻学,2.0-3.0,0,无,519 (通过),无,经济学,毕业实习,自由职业,无关,技术岗,其他,7500
1885,工商管理,2.0-3.0,1,无,455 (通过),二级,法学,暑期实习,四大会计师事务所,完全相关,技术岗,量化研究员,11500
1886,机械工程,3.0-3.5,0,无,476 (通过),二级,无,日常实习,民营企业,完全相关,技术岗,机械设计师,11000
1887,信息安全,3.5+,0,无,464 (通过),三级,无,日常实习,上市科技公司,完全相关,技术岗,算法工程师,12500
1888,计算机科学与技术,2.0-3.0,0,无,389 (未通过),四级,无,毕业实习,中小型企业,部分相关,技术岗,数据分析师,13500
1889,通信工程,3.5+,0,省奖,503 (通过),三级,无,暑期实习,行业龙头,部分相关,技术岗,自动化控制师,12500
1890,信息安全,3.0-3.5,0,无,510 (通过),三级,无,毕业实习,世界500强,完全相关,非技术岗,技术销售,15500
1891,工商管理,2.0-3.0,0,无,502 (通过),无,无,日常实习,外资企业,完全相关,技术岗,量化研究员,10000
1892,软件工程,3.0-3.5,0,无,417 (未通过),三级,无,日常实习,中小型企业,完全相关,技术岗,软件开发工程师,15000
1893,金融学,2.0-3.0,0,无,330 (未通过),二级,无,日常实习,外资企业,完全相关,技术岗,量化研究员,10000
1894,自动化,3.0-3.5,0,无,473 (通过),三级,无,日常实习,中小型企业,完全相关,技术岗,自动化控制师,12000
1895,电子工程,3.5+,0,校奖,513 (通过),三级,无,毕业实习,中小型企业,部分相关,非技术岗,项目协调员,12500
1896,计算机科学与技术,3.5+,0,校奖,529 (通过),三级,无,毕业实习,上市科技公司,完全相关,技术岗,算法工程师,14000
1897,市场营销,3.5+,0,无,543 (通过),无,无,暑期实习,创业公司,部分相关,非技术岗,市场营销专员,10500
1898,信息安全,3.0-3.5,0,无,450 (通过),四级,无,日常实习,上市科技公司,完全相关,技术岗,系统架构师,14000
1899,自动化,3.5+,0,无,636 (通过),三级,无,日常实习,中小型企业,完全相关,技术岗,自动化控制师,11500
1900,土木工程,3.0-3.5,0,省奖,463 (通过),二级,工商管理,暑期实习,国企,完全相关,技术岗,机械设计师,9000
1901,市场营销,2.0-3.0,0,无,412 (未通过),二级,无,暑期实习,外资企业,完全相关,非技术岗,HRBP,11000
1902,软件工程,3.5+,0,国奖,555 (通过),三级,无,日常实习,独角兽企业,部分相关,非技术岗,IT项目经理,15000
1903,通信工程,3.0-3.5,0,无,465 (通过),三级,无,毕业实习,行业龙头,完全相关,技术岗,自动化控制师,12000
1904,金融学,2.0-3.0,0,无,426 (通过),无,无,暑期实习,金融机构,完全相关,技术岗,财务分析师,10500
1905,金融学,2.0-3.0,0,无,369 (未通过),二级,计算机科学,日常实习,创业公司,完全相关,技术岗,财务分析师,11000
1906,机械工程,3.0-3.5,0,无,496 (通过),二级,无,毕业实习,民营企业,完全相关,技术岗,结构工程师,10000
1907,工商管理,2.0-3.0,0,无,413 (未通过),二级,心理学,毕业实习,四大会计师事务所,部分相关,技术岗,财务分析师,11000
1908,材料工程,3.0-3.5,0,无,443 (通过),二级,工商管理,日常实习,国企,无关,技术岗,结构工程师,10000
1909,软件工程,3.5+,0,省奖,586 (通过),三级,无,暑期实习,独角兽企业,完全相关,技术岗,软件开发工程师,14000
1910,计算机科学与技术,3.0-3.5,0,校奖,530 (通过),三级,无,日常实习,中小型企业,完全相关,技术岗,软件开发工程师,13000
1911,汉语言文学,2.0-3.0,0,无,443 (通过),无,无,日常实习,教育机构,部分相关,非技术岗,教育培训,8000
1912,通信工程,3.5+,0,省奖,503 (通过),三级,无,毕业实习,中小型企业,完全相关,非技术岗,技术顾问,13000
1913,会计学,2.0-3.0,0,无,467 (通过),二级,无,毕业实习,金融机构,部分相关,技术岗,财务分析师,11000
1914,土木工程,3.5+,0,校奖,537 (通过),二级,无,日常实习,国企,完全相关,非技术岗,生产主管,10500
1915,市场营销,3.0-3.5,0,无,538 (通过),二级,无,日常实习,金融机构,部分相关,技术岗,量化研究员,10000
1916,新闻学,3.5+,0,无,503 (通过),无,无,毕业实习,教育机构,无关,技术岗,其他,8500
1917,自动化,3.0-3.5,0,无,438 (通过),二级,无,暑期实习,央企,完全相关,技术岗,电子工程师,11000
1918,软件工程,3.0-3.5,0,无,376 (未通过),四级,金融学,日常实习,上市科技公司,完全相关,非技术岗,产品经理,13000
1919,软件工程,3.5+,0,无,525 (通过),四级,无,毕业实习,独角兽企业,完全相关,技术岗,算法工程师,13500
1920,信息安全,3.0-3.5,0,省奖,506 (通过),四级,无,暑期实习,独角兽企业,完全相关,技术岗,数据分析师,14000
1921,英语,2.0-3.0,0,无,383 (未通过),一级,经济学,日常实习,事业单位,完全相关,技术岗,其他,8500
1922,会计学,2.0-3.0,0,无,445 (通过),二级,无,日常实习,四大会计师事务所,完全相关,技术岗,财务分析师,11000
1923,机械工程,3.0-3.5,0,无,404 (未通过),二级,无,暑期实习,央企,完全相关,技术岗,材料研发员,10000
1924,自动化,3.5+,0,无,403 (未通过),三级,无,日常实习,中小型企业,完全相关,非技术岗,项目协调员,12500
1925,机械工程,2.0-3.0,0,无,477 (通过),三级,无,暑期实习,民营企业,完全相关,非技术岗,生产主管,10000
1926,市场营销,3.0-3.5,0,无,529 (通过),无,无,日常实习,金融机构,完全相关,技术岗,财务分析师,10500
1927,信息安全,3.0-3.5,0,无,478 (通过),三级,无,毕业实习,中小型企业,完全相关,技术岗,数据分析师,14000
1928,材料工程,3.0-3.5,0,无,488 (通过),二级,无,暑期实习,央企,部分相关,技术岗,材料研发员,11000
1929,市场营销,3.0-3.5,0,无,435 (通过),无,无,暑期实习,外资企业,完全相关,技术岗,财务分析师,10000
1930,市场营销,2.0-3.0,1,无,439 (通过),二级,无,毕业实习,创业公司,部分相关,技术岗,财务分析师,11500
1931,土木工程,3.5+,0,省奖,645 (通过),三级,工商管理,暑期实习,国企,完全相关,技术岗,机械设计师,10500
1932,信息安全,3.0-3.5,0,无,506 (通过),三级,无,暑期实习,中小型企业,部分相关,技术岗,算法工程师,14000
1933,汉语言文学,3.0-3.5,0,无,458 (通过),无,无,日常实习,事业单位,完全相关,技术岗,其他,8500
1934,新闻学,2.0-3.0,0,无,412 (未通过),无,新媒体,日常实习,传媒机构,部分相关,非技术岗,内容运营,8000
1935,自动化,3.0-3.5,0,无,525 (通过),二级,无,日常实习,中小型企业,部分相关,非技术岗,项目协调员,12500
1936,人工智能,3.0-3.5,0,无,492 (通过),三级,无,毕业实习,中小型企业,无关,技术岗,系统架构师,13500
1937,材料工程,2.0-3.0,0,无,407 (未通过),三级,计算机科学,日常实习,国企,部分相关,非技术岗,质量检测员,10500
1938,金融学,3.5+,0,校奖,565 (通过),二级,无,日常实习,四大会计师事务所,完全相关,技术岗,量化研究员,11000
1939,会计学,3.5+,0,国奖,610 (通过),二级,无,日常实习,外资企业,完全相关,技术岗,财务分析师,11500
